Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,
 2023-Jun-24 00:00, , , 09 30 17.22, +16 05 27.8,    1.659,  4.515,  2.16535866430145, 11.4289563,
 2023-Jun-25 00:00, , , 09 32 37.92, +15 53 35.1,    1.674,  4.524,  2.17193257890331, 11.3351246,
 2023-Jun-26 00:00, , , 09 34 58.51, +15 41 36.5,    1.684,  4.529,  2.17845224817502, 11.2411326,
 2023-Jun-27 00:00, , , 09 37 18.99, +15 29 32.0,    1.699,  4.538,  2.18491760399313, 11.1470658,
 2023-Jun-28 00:00, , , 09 39 39.36, +15 17 21.6,    1.710,  4.543,  2.19132862921623, 11.0530153,
 2023-Jun-29 00:00, , , 09 41 59.63, +15 05 05.4,    1.716,  4.544,  2.19768536086541, 10.9590773,
 2023-Jun-30 00:00, , , 09 44 19.78, +14 52 43.6,    1.728,  4.550,  2.20398789182076, 10.8653477,
 2023-Jul-01 00:00, , , 09 46 39.83, +14 40 16.2,    1.744,  4.560,  2.21023636806853, 10.7719122,
 2023-Jul-02 00:00, , , 09 48 59.77, +14 27 43.3,    1.749,  4.561,  2.21643097793900, 10.6788285,
 2023-Jul-03 00:00, , , 09 51 19.61, +14 15 04.8,    1.743,  4.549,  2.22257193048201, 10.5861073,
 2023-Jul-04 00:00, , , 09 53 39.34, +14 02 21.0,    1.741,  4.542,  2.22865942294141, 10.4936951,
 2023-Jul-05 00:00, , , 09 55 58.98, +13 49 31.9,    1.733,  4.528,  2.23469360193246, 10.4014707,
 2023-Jul-06 00:00, , , 09 58 18.53, +13 36 37.4,    1.732,  4.522,  2.24067452722920, 10.3092585,
 2023-Jul-07 00:00, , , 10 00 37.98, +13 23 37.8,    1.735,  4.520,  2.24660214788672, 10.2168561,
 2023-Jul-08 00:00, , , 10 02 57.36, +13 10 32.9,    1.758,  4.539,  2.25247629641633, 10.1240673,
 2023-Jul-09 00:00, , , 10 05 16.65, +12 57 23.0,    1.750,  4.525,  2.25829670014314, 10.0307273,
 2023-Jul-10 00:00, , , 10 07 35.86, +12 44 07.9,    1.739,  4.510,  2.26406300375171,  9.9367159,
 2023-Jul-11 00:00, , , 10 09 55.01, +12 30 47.9,    1.744,  4.510,  2.26977479570375,  9.8419580,
 2023-Jul-12 00:00, , , 10 12 14.08, +12 17 23.0,    1.761,  4.522,  2.27543163303796,  9.7464186,
 2023-Jul-13 00:00, , , 10 14 33.09, +12 03 53.2,    1.751,  4.508,  2.28103306192215,  9.6500937,
 2023-Jul-14 00:00, , , 10 16 52.04, +11 50 18.6,    1.736,  4.487,  2.28657863358812,  9.5530037,
 2023-Jul-15 00:00, , , 10 19 10.93, +11 36 39.2,    1.735,  4.482,  2.29206791641613,  9.4551869,
 2023-Jul-16 00:00, , , 10 21 29.76, +11 22 55.3,    1.724,  4.467,  2.29750050516607,  9.3566956,
 2023-Jul-17 00:00, , , 10 23 48.53, +11 09 06.7,    1.722,  4.460,  2.30287602810984,  9.2575931,
 2023-Jul-18 00:00, , , 10 26 07.25, +10 55 13.7,    1.717,  4.451,  2.30819415246824,  9.1579506,
 2023-Jul-19 00:00, , , 10 28 25.92, +10 41 16.2,    1.690,  4.419,  2.31345458831096,  9.0578447,
