Messier,NGC,Object type / Type d'objet,Season / Saison,Magnitude,Constellation (EN),Constellation (FR),Constellation (Latin),RA (Right Ascension),Dec (Declinaison),Distance (l.y / a. l.),Size / Dimensions,Discoverer / Découvreur,Year / Année,Image,URL de l'image,Constellation
M4,NGC 6121,Globular Cluster / Amas Globulaire,Summer / Été,5,Scorpion,Scorpion,Scorpius,16.393166666666666,-25.47447222222222,9900.0,"22,8'",Chéseaux,1746.0,http://www.lasam.ca/messier/M004.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9e84672c59018c447a8a2b69bd0b00b5,Sco
M15,NGC 7078,Globular Cluster / Amas Globulaire,Autumn / Automne,6,Winged Horse,Pégase,Pegasus,21.49955,12.166833333333333,49500.0,"12,3'",Maraldi,1746.0,http://www.lasam.ca/messier/M015.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/28bacad1602d1b9a95f5586e8b74ce3e,Peg
M18,NGC 6613,Open Cluster / Amas Ouvert,Summer / Été,6,Archer,Sagittaire,Sagittarius,18.33291388888889,-16.898027777777777,4900.0,"9,0'",Messier,1764.0,http://www.lasam.ca/messier/M018.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/86787116516b785cd0f19c05813f27cd,Sgr
M21,NGC 6531,Open Cluster / Amas Ouvert,Summer / Été,5,Archer,Sagittaire,Sagittarius,18.070402777777776,-21.509944444444443,4200.0,"13,0'",Messier,1764.0,http://www.lasam.ca/messier/M021.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/75a5abb0615e1a26f50db284646060b8,Sgr
M35,NGC 2168,Open Cluster / Amas Ouvert,Winter / Hiver,5,Twins,Les Gémeaux,Gemini,6.151405555555556,24.338638888888887,2800.0,"30,0'",Chéseaux,1746.0,http://www.lasam.ca/messier/M035.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/467bb231afdb84b7ef8e4e8238e12759,Gem
M51,NGC 5194,Galaxy / Galaxie,Spring / Printemps,8,Hound Dogs,Les Chiens de chasse,Canes Venatici,13.497974999999999,47.195166666666665,37000000.0,"11,0' x 7,8'",Messier,1773.0,http://www.lasam.ca/messier/M051.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4351888ecb69e0401039ec50877e4855,CVn
M77,NGC 1068,Galaxy / Galaxie,Autumn / Automne,8,Sea-monster,Baleine,Cetus,2.7113083333333337,0.013277777777777777,52000000.0,"6,9' x 5,9'",Méchain,1780.0,http://www.lasam.ca/messier/M077.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/34ce13fe62859221f213c499054a1556,Cet
M78,NGC 2068,Reflection Nebula / Nébuleuse à réflexion,Winter / Hiver,8,"Orion, Hunter",Orion,Orion,5.779394444444445,0.07930555555555556,1630.0,"8,0' x 6,0'",Méchain,1780.0,http://www.lasam.ca/messier/M078.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/2946d192d55227c94562066d2ed4cac5,Ori
M82,NGC 3034,Galaxy / Galaxie,Spring / Printemps,8,Big Bear,Grande Ourse,Ursa Major,9.931313888888889,69.6793888888889,8500000.0,"11,0' x 4,6'",Bode,1774.0,http://www.lasam.ca/messier/M082.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/a698c2b1317900b12c47e040eb93e70c,UMa
M88,NGC 4501,Galaxy / Galaxie,Spring / Printemps,9,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.533100000000001,14.420388888888889,41000000.0,"6,9' x 3,9'",Messier,1781.0,http://www.lasam.ca/messier/M088.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/3df1ec0bba598bdb4129a52cd48190bb,Com
M69,NGC 6637,Globular Cluster / Amas Globulaire,Summer / Été,7,Archer,Sagittaire,Sagittarius,18.523119444444443,-31.65202777777778,23500.0,"3,8'",Lacaille,1751.0,http://www.lasam.ca/messier/M069.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/779df16a61fc20ffff7104d9e4c60a05,Sgr
M57,NGC 6720,Planetary Nebula / Nébuleuse Planétaire,Summer / Été,9,Lyre,Lyre,Lyra,18.893058333333332,33.02858333333333,1410.0,71'',Darquier,1779.0,http://www.lasam.ca/messier/M057.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/472ec85e2d24785c404bce9bc6992a4e,Lyr
M66,NGC 3627,Galaxy / Galaxie,Spring / Printemps,9,Lion,Lion,Leo,11.33748888888889,12.991527777777778,29000000.0,"8,7' x 4,4'",Méchain,1780.0,http://www.lasam.ca/messier/M066.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4c175ed819a386ed3a413b0091f24581,Leo
M100,NGC 4321,Galaxy / Galaxie,Spring / Printemps,9,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.381897222222223,15.821805555555555,41000000.0,"6,9' x 6,2'",Méchain,1781.0,http://www.lasam.ca/messier/M100.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0b5669eb3e06461e8bf429b734717e0d,Com
M72,NGC 6981,Globular Cluster / Amas Globulaire,Autumn / Automne,9,Water Bearer,Verseau,Aquarius,20.89108611111111,-11.462944444444444,62000.0,"5,1'",Méchain,1780.0,http://www.lasam.ca/messier/M072.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7038bdf46b99d2351020ebaab7450c88,Aqr
M3,NGC 5272,Globular Cluster / Amas Globulaire,Spring / Printemps,6,Hound Dogs,Les Chiens de chasse,Canes Venatici,13.703119444444443,28.375444444444444,48500.0,"18,6'",Messier,1764.0,http://www.lasam.ca/messier/M003.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fd1a521c7991b13865e64a87cba3d496,CVn
M39,NGC 7092,Open Cluster / Amas Ouvert,Autumn / Automne,4,Swan,Cygne,Cygnus,21.530088888888887,48.43816666666666,880.0,"32,0'",Le Gentil,1750.0,http://www.lasam.ca/messier/M039.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/71502ac0261783ada7c258f818ef13ee,Cyg
M29,NGC 6913,Open Cluster / Amas Ouvert,Summer / Été,6,Swan,Cygne,Cygnus,20.399380555555556,38.507666666666665,4100.0,"7,0'",Messier,1764.0,http://www.lasam.ca/messier/M029.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/320893eb15e78189e7c72cd38d807c23,Cyg
